gene	tumor	value	sample
PCLO	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
GPR98	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
OBSCN	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
PTEN	TCGA-28-5209-01A-01D-1486-08	4	GBM-28-5209
APOB	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
FRAS1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
SPTA1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
PIK3CA	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
HMCN1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
EGFR	TCGA-28-5209-01A-01D-1486-08	3	GBM-28-5209
Unknown	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
LRP2	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
PIK3R1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
RELN	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
USH2A	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
MUC16	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
NF1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
DNAH5	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
ATRX	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
FLG	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
PKHD1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
TTN	TCGA-28-5209-01A-01D-1486-08	5	GBM-28-5209
MUC17	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
IDH1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
TP53	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
AHNAK2	TCGA-28-5209-01A-01D-1486-08	3	GBM-28-5209
RB1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
SYNE1	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
RYR3	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
RYR2	TCGA-28-5209-01A-01D-1486-08	0	GBM-28-5209
PCLO	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
GPR98	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
OBSCN	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
PTEN	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
APOB	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
FRAS1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
SPTA1	TCGA-26-5135-01A-01D-1486-08	3	GBM-26-5135
PIK3CA	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
HMCN1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
EGFR	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
Unknown	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
LRP2	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
PIK3R1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
RELN	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
USH2A	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
MUC16	TCGA-26-5135-01A-01D-1486-08	1	GBM-26-5135
NF1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
DNAH5	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
ATRX	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
FLG	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
PKHD1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
TTN	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
MUC17	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
IDH1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
TP53	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
AHNAK2	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
RB1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
SYNE1	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
RYR3	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
RYR2	TCGA-26-5135-01A-01D-1486-08	0	GBM-26-5135
PCLO	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
GPR98	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
OBSCN	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
PTEN	TCGA-26-5132-01A-01D-1486-08	2	GBM-26-5132
APOB	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
FRAS1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
SPTA1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
PIK3CA	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
HMCN1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
EGFR	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
Unknown	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
LRP2	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
PIK3R1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
RELN	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
USH2A	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
MUC16	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
NF1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
DNAH5	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
ATRX	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
FLG	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
PKHD1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
TTN	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
MUC17	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
IDH1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
TP53	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
AHNAK2	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
RB1	TCGA-26-5132-01A-01D-1486-08	5	GBM-26-5132
SYNE1	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
RYR3	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
RYR2	TCGA-26-5132-01A-01D-1486-08	0	GBM-26-5132
PCLO	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
GPR98	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
OBSCN	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
PTEN	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
APOB	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
FRAS1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
SPTA1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
PIK3CA	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
HMCN1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
EGFR	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
Unknown	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
LRP2	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
PIK3R1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
RELN	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
USH2A	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
MUC16	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
NF1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
DNAH5	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
ATRX	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
FLG	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
PKHD1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
TTN	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
MUC17	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
IDH1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
TP53	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
AHNAK2	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
RB1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
SYNE1	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
RYR3	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
RYR2	TCGA-06-0165-01A-01D-1491-08	0	GBM-06-0165
PCLO	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
GPR98	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
OBSCN	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
PTEN	TCGA-32-1991-01A-01D-1353-08	5	GBM-32-1991
APOB	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
FRAS1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
SPTA1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
PIK3CA	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
HMCN1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
EGFR	TCGA-32-1991-01A-01D-1353-08	3	GBM-32-1991
Unknown	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
LRP2	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
PIK3R1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
RELN	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
USH2A	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
MUC16	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
NF1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
DNAH5	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
ATRX	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
FLG	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
PKHD1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
TTN	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
MUC17	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
IDH1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
TP53	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
AHNAK2	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
RB1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
SYNE1	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
RYR3	TCGA-32-1991-01A-01D-1353-08	3	GBM-32-1991
RYR2	TCGA-32-1991-01A-01D-1353-08	0	GBM-32-1991
PCLO	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
GPR98	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
OBSCN	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
PTEN	TCGA-06-0881-01A-02D-1492-08	3	GBM-06-0881
APOB	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
FRAS1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
SPTA1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
PIK3CA	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
HMCN1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
EGFR	TCGA-06-0881-01A-02D-1492-08	3	GBM-06-0881
Unknown	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
LRP2	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
PIK3R1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
RELN	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
USH2A	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
MUC16	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
NF1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
DNAH5	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
ATRX	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
FLG	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
PKHD1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
TTN	TCGA-06-0881-01A-02D-1492-08	3	GBM-06-0881
MUC17	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
IDH1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
TP53	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
AHNAK2	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
RB1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
SYNE1	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
RYR3	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
RYR2	TCGA-06-0881-01A-02D-1492-08	0	GBM-06-0881
PCLO	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
GPR98	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
OBSCN	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
PTEN	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
APOB	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
FRAS1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
SPTA1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
PIK3CA	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
HMCN1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
EGFR	TCGA-06-0878-01A-01D-1492-08	3	GBM-06-0878
Unknown	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
LRP2	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
PIK3R1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
RELN	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
USH2A	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
MUC16	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
NF1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
DNAH5	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
ATRX	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
FLG	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
PKHD1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
TTN	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
MUC17	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
IDH1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
TP53	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
AHNAK2	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
RB1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
SYNE1	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
RYR3	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
RYR2	TCGA-06-0878-01A-01D-1492-08	0	GBM-06-0878
PCLO	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
GPR98	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
OBSCN	TCGA-76-4932-01A-01D-1486-08	3	GBM-76-4932
PTEN	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
APOB	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
FRAS1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
SPTA1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
PIK3CA	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
HMCN1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
EGFR	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
Unknown	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
LRP2	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
PIK3R1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
RELN	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
USH2A	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
MUC16	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
NF1	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
DNAH5	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
ATRX	TCGA-76-4932-01A-01D-1486-08	0	GBM-76-4932
FLG	TCGA-76-4932-01A-01D-1486-08	1	GBM-76-4932
